Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Con1,Header_Socket_2x26,Header_Socket_2x26pin,-128.150000,-72.970000,0.000000,bottom
Con2,Header_Socket_2x26,Header_Socket_2x26pin,-128.140000,-126.000000,180.000000,bottom
C1,100n,100nF_0603,117.040000,-115.830000,0.000000,top
C2,10uF,10uF_10V_0603,117.040000,-117.300000,0.000000,top
Con3,2041119-1,2041119-1,112.882500,-99.480000,-90.000000,top
D1,KPG-1608SURKC-T,LED_KPG-1608SURKC-T,182.290000,-77.240000,180.000000,top
D2,KPT-1608CGCK,LED_KPT-1608CGCK,190.180000,-123.750000,180.000000,top
D3,KPT-1608CGCK,LED_KPT-1608CGCK,183.460000,-123.750000,180.000000,top
P1,Power_Sel,Goldpin_3_2_54mm,178.880000,-83.720000,-90.000000,top
P2,Band_Sel1,Goldpin_3_2_54mm,178.880000,-105.440000,-90.000000,top
P3,Band_Sel2,Goldpin_3_2_54mm,178.880000,-117.070000,-90.000000,top
R1,220R,220R_0603,179.670000,-77.240000,0.000000,top
R2,220R,220R_0603,187.550000,-123.750000,0.000000,top
R3,220R,220R_0603,180.850000,-123.750000,0.000000,top
U1,LRWAN_GS_HF1,LRWAN_GS_HF1,137.790000,-99.480000,-90.000000,top
